"SB","Simon Bolivar","3","30","79","273","480","487","355","295","198","131","149","145","108","101","110","131","133","130","154","195","153","171","220","245","283","348","334","310","234","223","178","129","151","99","69","26","1"
"TB","Tobalaba","22","102","182","524","878","1140","1027","861","839","758","889","992","1023","1062","1207","1473","1272","1299","1277","1360","1369","1639","1863","2629","3557","5886","6842","6057","3818","3148","1907","1322","1176","1286","605","157","0"
"TO","Toesca","7","68","166","407","473","521","432","296","299","308","264","318","394","349","412","654","539","482","433","460","692","497","597","822","843","981","1123","924","630","587","476","524","816","683","497","47","0"
"TR","Trinidad","51","175","422","680","798","726","532","380","286","244","198","182","154","141","174","189","167","176","139","134","141","163","181","184","248","244","248","198","154","141","130","99","94","93","52","14","1"
"LA","Union Latino Americana","47","169","316","510","558","624","457","412","446","400","400","411","494","486","524","677","751","580","562","490","532","533","586","528","679","845","848","692","630","595","446","423","471","713","791","48","1"
"UC","Universidad Catolica","8","36","100","296","621","895","874","620","490","420","411","496","547","561","645","824","661","545","523","723","657","609","787","965","1052","1278","1219","929","787","993","780","651","706","464","275","84","0"
"CH","Universidad de Chile","41","76","160","370","636","849","820","744","898","1015","1254","1517","1729","1945","2243","2683","2921","2853","2299","2056","1985","2003","2204","2721","3190","4622","5028","4148","2985","2814","2851","1569","1275","1596","1251","81","0"
"US","Universidad de Santiago","292","500","844","1567","1908","2275","1543","1272","1017","775","694","713","653","602","634","844","676","649","563","639","664","680","669","916","848","1023","1318","1023","855","859","729","741","702","677","400","115","3"
"AV","Vespucio Norte","39","258","622","1693","1851","1579","1192","794","667","515","519","465","426","402","454","523","534","454","443","436","462","527","609","729","1313","1824","1978","1465","965","763","535","392","337","236","135","4"
"VA","Vicente ValdŽs","415","815","1645","3171","3757","3766","2706","1514","1116","832","698","579","501","434","476","592","514","502","418","357","338","338","480","350","493","661","634","456","389","319","285","294","239","215","153","32","3"
"VM","Vicuna Mackenna","18","87","228","555","739","708","508","385","315","286","274","264","295","304","380","459","423","403","362","379","389","403","395","457","499","636","730","752","672","704","609","778","711","464","383","76","3"
"ZA","Zapadores","56","346","733","1355","1567","1355","941","735","645","492","418","383","330","296","321","420","403","322","307","270","281","289","359","387","550","675","681","506","369","293","225","198","174","142","82","9","0"
